proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDBC20230001,13.61,13.45,0.81,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230001.webp,,,
SMDBC20230003,11.78,11.6,0.92,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230003.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230003.1.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230003.2.webp,
SMDER2023039,36,32.13,4.7,750,18kt Gold,50000,5000,,collectionAssets/Diamond/Earrings/smder20230039.webp,,,
SMDER2023040,39,34,4.85,750,18kt Gold,50000,5000,,collectionAssets/Diamond/Earrings/smder20230040.webp,,,
SMDER2023047,37.2,28.4,4.25,750,18kt Gold,50000,10000,,collectionAssets/Diamond/Earrings/smder20230047.webp,collectionAssets/Diamond/Earrings/smder20230047.1.webp,,
SMDER2023066,41.56,38.41,4.72,750,18kt Gold,50000,7500,,collectionAssets/Diamond/Earrings/smder20230066.webp,collectionAssets/Diamond/Earrings/smder20230066.1.webp,collectionAssets/Diamond/Earrings/smder20230066.2.webp,collectionAssets/Diamond/Earrings/smder20230066.3.webp
SMDGEM20230004,174.46,141.89,12.43,750,18kt Gold,50000,134000,,collectionAssets/Customized Jewellery/SMDGEM20230004.webp,,,
SMDGEM20230006,10.15,9.64,0.3,750,18kt Gold,50000,7875,2.5ct zambian 3.5k,collectionAssets/Customized Jewellery/SMDGEM20230006.webp,,,
SMDGEM20230008,20.93,11.79,1.87,750,18kt Gold,50000,35000,,collectionAssets/Customized Jewellery/SMDGEM20230008.webp,,,
SMDGEM20230009,36.88,36.88,0,0,18kt Gold,50000,45000,,collectionAssets/Customized Jewellery/SMDGEM20230009.webp,,,
SMDGEM20230010,8.88,7.98,0,750,18kt Gold,50000,24300,4.5 cts bangkok ,collectionAssets/Customized Jewellery/SMDGEM20230010.webp,collectionAssets/Customized Jewellery/SMDGEM20230010.1.webp,,
SMDHR20230003,172.77,144.92,22.45,750,18kt Gold,50000,45000,,collectionAssets/Diamond/NecklaceHaram/SMDHR20230003.webp,,,
SMDPN20230005,14.63,12.78,0.54,750,18kt Gold,50000,7000,,collectionAssets/Diamond/Pendant Set/SMDPN20230005.webp,,,
