proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDBC20230001,13.61,13.45,0.81,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230001.webp,,,
SMDBC20230002,11.42,11.35,0.35,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230002.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230002.1.webp,,
SMDBC20230003,11.78,11.6,0.92,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230003.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230003.1.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230003.2.webp,
SMDBC20230004,7.15,7.07,0.4,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230004.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230004.1.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230004.webp,
SMDBC20230005,13.78,13.54,1.2,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBC20230005.webp,,,
SMDBN20230001,48.56,41.6,4.8,750,18kt Gold,50000,5000,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230001.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230001.1.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230001.2.webp,
SMDBN20230002,56.44,54.41,10.14,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230002.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230002.1.webp,,
SMDBN20230003,29.92,29.29,3.17,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230003.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230003.1.webp,,
SMDBN20230004,55.28,52.16,15.6,750,18kt Gold,65000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230004.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230004.1.webp,,
SMDBN20230005,28.63,28.19,2.21,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230005.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230005.1.webp,,
SMDBN20230006,31.11,30.74,1.8,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230006.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230006.1.webp,,
SMDBN20230007,47.88,45,14.4,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230007.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230007.1.webp,,
SMDBN20230008,63.12,61.33,8.96,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230008.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230008.1.webp,,
SMDBN20230009,32.68,32.08,3.04,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230009.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230009.1.webp,,
SMDBN20230010,52.47,52.04,2.16,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230010.webp,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230010.1.webp,,
SMDBN20230011,34.21,32.53,8.41,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230011.webp,,,
SMDBN20230012,32.47,31.34,5.45,750,18kt Gold,50000,0,,collectionAssets/Diamond/Bangles and Braclets/SMDBN20230012.webp,,,
