proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDER2023001,12,11.5,0.3,750,18kt Gold,50000,5000,,collectionAssets/Diamond/Earrings/smder2023001.webp,,,
SMDER2023002,2.5,2.45,0.25,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder2023002.webp,,,
SMDER2023003,3.5,3.43,0.35,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder2023003.webp,,,
SMDER2023004,2.5,2.46,0.2,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder2023004.webp,,,
SMDER2023005,2.75,2.7,0.25,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder2023005.webp,,,
SMDER2023006,3.75,3.67,0.4,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder2023006.webp,,,
SMDER2023007,3.75,3.8,0.35,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder2023007.webp,,,
SMDER2023008,4.2,4.1,0.45,750,18kt Gold,50000,1000,,collectionAssets/Diamond/Earrings/smder2023008.webp,,,
SMDER2023009,4.5,3.8,0.3,750,18kt Gold,50000,1500,,collectionAssets/Diamond/Earrings/smder2023009.webp,,,
SMDER2023010,4.75,4.25,0.5,750,18kt Gold,50000,1500,,collectionAssets/Diamond/Earrings/smder20230010.webp,,,
SMDER2023011,4.5,4.37,0.65,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230011.webp,,,
SMDER2023012,3,2.93,0.35,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230012.webp,,,
SMDER2023013,9,8.36,1.2,750,18kt Gold,50000,1500,,collectionAssets/Diamond/Earrings/smder20230013.webp,,,
SMDER2023014,28,24,4.11,750,18kt Gold,50000,5000,,collectionAssets/Diamond/Earrings/smder20230014.webp,,,
SMDER2023015,5,4.9,0.5,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230015.webp,,,
SMDER2023016,4.25,4.18,0.36,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230016.webp,,,
SMDER2023017,3,2.95,0.27,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230017.webp,,,
SMDER2023018,3.25,3.2,0.25,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230018.webp,,,
SMDER2023019,6.5,6.4,0.52,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230019.webp,,,
SMDER2023020,4.5,4.38,0.61,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230020.webp,,,
SMDER2023021,3.55,3.48,0.35,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230021.webp,,,
SMDER2023022,3.25,3.2,0.15,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230022.webp,,,
SMDER2023023,4.6,4.15,0.36,750,18kt Gold,50000,1000,,collectionAssets/Diamond/Earrings/smder20230023.webp,,,
SMDER2023024,2.95,2.89,0.32,750,18kt Gold,50000,0,,collectionAssets/Diamond/Earrings/smder20230024.webp,,,
