proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDMG20230001,13,12.68,1.61,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230001.webp,,,
SMDMG20230002,5.45,5.32,0.62,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230002.webp,,,
SMDMG20230003,6.48,6.36,0.61,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230003.webp,,,
SMDMG20230004,5.15,4.94,1.11,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230004.webp,,,
SMDMG20230005,18.3,17.55,3.75,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230005.webp,,,
SMDMG20230006,6.2,5.44,0.8,750,18kt Gold,50000,1000,,collectionAssets/Diamond/MangalSutra/SMDMG20230006.webp,,,
SMDMG20230007,4.8,4.63,0.83,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230007.webp,,,
SMDMG20230008,20.58,11.29,1.6,750,18kt Gold,50000,5000,,collectionAssets/Diamond/MangalSutra/SMDMG20230008.webp,,,
SMDMG20230009,9.03,8.83,0.98,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230009.webp,,,
SMDMG20230010,37.68,35.21,,750,22kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230010.webp,,,
SMDMG20230011,5.23,5.05,0.92,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230011.webp,,,
SMDMG20230012,22.46,21.39,5.36,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230012.webp,,,
SMDMG20230013,6.23,6.11,0.61,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230013.webp,,,
SMDMG20230014,18,17.29,3.56,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230014.webp,,,
SMDMG20230015,5.3,5.09,1.05,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230015.webp,,,
SMDMG20230016,14.76,14.279,2.43,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230016.webp,,,
SMDMG20230017,,,,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230017.webp,,,
SMDMG20230018,6.12,5.87,1.25,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230018.webp,,,
SMDMG20230019,4,3.92,0.42,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230019.webp,,,
SMDMG20230020,19.4,18.98,2.11,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230020.webp,,,
SMDMG20230021,5.8,5.53,0.45,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230021.webp,,,
SMDMG20230022,3.5,3.4,0.72,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230022.webp,,,
SMDMG20230023,,,,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230023.webp,,,
SMDMG20230024,7.08,6.79,1.46,750,18kt Gold,50000,0,,collectionAssets/Diamond/MangalSutra/SMDMG20230024.webp,,,
