proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDHR20230001,126.72,121.18,17.78,750,18kt Gold,50000,6000,,collectionAssets/Diamond/NecklaceHaram/SMDHR20230001.webp,collectionAssets/Diamond/NecklaceHaram/SMDHR20230001.1.webp,collectionAssets/Diamond/NecklaceHaram/SMDHR20230001.2.webp,
SMDHR20230002,164.54,145.04,21.27,750,18kt Gold,50000,35000,,collectionAssets/Diamond/NecklaceHaram/SMDHR20230002.webp,collectionAssets/Diamond/NecklaceHaram/SMDHR20230002.1.webp,,
SMDHR20230003,172.77,144.92,22.45,750,18kt Gold,50000,45000,,collectionAssets/Diamond/NecklaceHaram/SMDHR20230003.webp,,,
SMDNK20230001,68.45,55.75,7.07,750,18kt Gold,50000,16000,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230001.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230001.1.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230001.2.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230001.3.webp
SMDNK20230002,12.42,12.15,1.36,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230002.webp,,,
SMDNK20230003,80.78,76.99,12.44,750,18kt Gold,50000,4000,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230003.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230003.1.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230003.2.webp,
SMDNK20230004,75.77,73.21,12.78,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230004.webp,,,
SMDNK20230005,58.09,52.78,7.88,750,18kt Gold,50000,10000,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230005.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230005.1.webp,,
SMDNK20230006,55.71,50.02,7.27,750,18kt Gold,50000,10000,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230006.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230006.1.webp,,
SMDNK20230007,49.97,46.01,19.83,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230007.webp,,,
SMDNK20230008,57.57,55.75,9.12,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230008.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230008.1.webp,,
SMDNK20230009,19.88,19.4,2.41,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230009.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230009.1.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230009.2.webp,
SMDNK20230010,29.78,29.21,2.85,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230010.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230010.1.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230010.2.webp,
SMDNK20230011,22.66,22.24,2.12,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230011.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230011.1.webp,,
SMDNK20230012,55.99,54.54,7.27,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230012.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230012.1.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230012.2.webp,
SMDNK20230013,54.53,43.72,9.04,750,18kt Gold,50000,10000,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230013.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230013.1.webp,,
SMDNK20230014,22.22,22.1,0.6,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230014.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230014.1.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230014.2.webp,
SMDNK20230015,40.68,39.62,5.31,750,18kt Gold,65000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230015.webp,collectionAssets/Diamond/NecklaceHaram/SMDNK20230015.1.webp,,
SMDNK20230016,32.11,30.99,5.61,750,18kt Gold,50000,0,,collectionAssets/Diamond/NecklaceHaram/SMDNK20230016.webp,,,
SMDNK20230017,107.47,92.47,12.84,750,18kt Gold,50000,225000,15 CTS REAL TANZANITE @15000 RD PER CARAT ,collectionAssets/Diamond/NecklaceHaram/SMDNK20230017.webp,,,
