proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDPN20230001,4.44,4.38,0.3,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230001.webp,,,
SMDPN20230002,21.32,17.82,3.54,750,18kt Gold,50000,5850,,collectionAssets/Diamond/Pendant Set/SMDPN20230002.webp,,,
SMDPN20230003,19.29,18.64,2.14,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230003.webp,,,
SMDPN20230004,6.78,6.55,1.14,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230004.webp,,,
SMDPN20230005,14.63,12.78,0.54,750,18kt Gold,50000,7000,,collectionAssets/Diamond/Pendant Set/SMDPN20230005.webp,,,
SMDPN20230006,10.63,10.38,1.27,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230006.webp,,,
SMDPN20230007,5.45,5.33,0.56,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230007.webp,collectionAssets/Diamond/Pendant Set/SMDPN20230007.1.webp,,
SMDPN20230008,11.29,10.8,1.89,750,18kt Gold,50000,500,,collectionAssets/Diamond/Pendant Set/SMDPN20230008.webp,,,
SMDPN20230009,8.62,7.275,1.18,750,18kt Gold,50000,2000,,collectionAssets/Diamond/Pendant Set/SMDPN20230009.webp,,,
SMDPN20230010,5.55,5.418,0.66,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230010.webp,,,
SMDPN20230011,34.11,25.022,4.34,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230011.webp,collectionAssets/Diamond/Pendant Set/SMDPN20230011.1.webp,,
SMDPN20230012,14.07,12.08,1.64,750,18kt Gold,50000,4000,,collectionAssets/Diamond/Pendant Set/SMDPN20230012.webp,collectionAssets/Diamond/Pendant Set/SMDPN20230012.1.webp,,
SMDPN20230013,21.47,14.28,1.85,750,18kt Gold,50000,11000,,collectionAssets/Diamond/Pendant Set/SMDPN20230013.webp,,,
SMDPN20230014,6.88,6.7,0.9,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230014.webp,,,
SMDPN20230015,24.13,18.97,3.63,750,18kt Gold,50000,4000,,collectionAssets/Diamond/Pendant Set/SMDPN20230015.webp,,,
SMDPN20230016,10.47,10.326,0.72,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230016.webp,,,
SMDPN20230017,15.79,14.82,2.64,750,18kt Gold,50000,1000,,collectionAssets/Diamond/Pendant Set/SMDPN20230017.webp,,,
SMDPN20230018,23.55,22.25,2.74,750,18kt Gold,50000,4000,,collectionAssets/Diamond/Pendant Set/SMDPN20230018.webp,,,
SMDPN20230019,5.65,5.52,0.64,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230019.webp,,,
SMDPN20230020,7.83,7.64,0.94,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230020.webp,,,
SMDPN20230021,21.78,21.01,3.83,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230021.webp,,,
SMDPN20230022,20.88,20.06,4.06,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230022.webp,collectionAssets/Diamond/Pendant Set/SMDPN20230022.1.webp,,
SMDPN20230023,11.45,10.67,1.45,750,18kt Gold,50000,1500,,collectionAssets/Diamond/Pendant Set/SMDPN20230023.webp,,,
SMDPN20230024,9.07,8.71,1.84,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230024.webp,,,
SMDPN20230025,16.44,13.84,2.12,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230025.webp,,,
SMDPN20230026,10.68,10.53,0.75,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPN20230026.webp,,,
SMDPN20230027,12.15,11.25,2.24,750,18kt Gold,50000,1000,,collectionAssets/Diamond/Pendant Set/SMDPN20230027.webp,,,
SMDPN20230028,28.95,26.72,3.19,750,18kt Gold,50000,2000,,collectionAssets/Diamond/Pendant Set/SMDPN20230028.webp,,,
SMDPN20230029,15.12,12.01,2.22,750,18kt Gold,50000,7000,,collectionAssets/Diamond/Pendant Set/SMDPN20230029.webp,,,
SMDPN20230030,14.27,11.93,2.1,750,18kt Gold,50000,2000,,collectionAssets/Diamond/Pendant Set/SMDPN20230030.webp,,,
SMDPN20230031,36.57,28.57,4.54,750,18kt Gold,50000,10000,,collectionAssets/Diamond/Pendant Set/SMDPN20230031.webp,,,
SMDGD20230023,29.3,25.72,0.25,750,18kt Gold,50000,3000,,collectionAssets/Diamond/Pendant Set/SMDGD20230023.webp,,,
SMDGD20230024,35.78,35.1,0.1,750,18kt Gold,50000,0,,collectionAssets/Diamond/Pendant Set/SMDPGD20230024.webp,,,
SMDGD20230025,22.89,21.78,0,750,18kt Gold,50000,5000,,collectionAssets/Diamond/Pendant Set/SMDPGD20230025.webp,,,
