proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDRN20230001,5.86,5.6,0.24,750,18kt Gold,50000,4000,,collectionAssets/Diamond/Rings/SMDRN20230001.webp,collectionAssets/Diamond/Rings/SMDRN20230001.1.webp,,
SMDRN20230002,4.66,4.19,0.47,750,18kt Gold,50000,0,,collectionAssets/Diamond/Rings/SMDRN20230002.webp,,,
SMDRN20230003,2.5,2.46,0.2,750,18kt Gold,50000,0,,collectionAssets/Diamond/Rings/SMDRN20230003.webp,collectionAssets/Diamond/Rings/SMDRN20230003.1.webp,,
SMDRN20230005,2.6,2.53,0.55,750,18kt Gold,71800,0,,collectionAssets/Diamond/Rings/SMDRN20230005.webp,collectionAssets/Diamond/Rings/SMDRN20230005.1.webp,collectionAssets/Diamond/Rings/SMDRN20230005.2.webp,
SMDRN20230006,7.5,7.3,0.61,750,18kt Gold,50000,0,,collectionAssets/Diamond/Rings/SMDRN20230006.webp,collectionAssets/Diamond/Rings/SMDRN20230006.1.webp,collectionAssets/Diamond/Rings/SMDRN20230006.2.webp,
SMDRN20230007,5.69,5.48,1.06,750,18kt Gold,64150,0,,collectionAssets/Diamond/Rings/SMDRN20230007.webp,collectionAssets/Diamond/Rings/SMDRN20230007.1.webp,collectionAssets/Diamond/Rings/SMDRN20230007.2.webp,
SMDRN20230009,3.56,3.42,0.7,750,18kt Gold,70000,0,,collectionAssets/Diamond/Rings/SMDRN20230009.webp,collectionAssets/Diamond/Rings/SMDRN20230009.1.webp,collectionAssets/Diamond/Rings/SMDRN20230009.2.webp,
SMDRN20230010,3.75,3.68,0.35,750,18kt Gold,56430,0,,collectionAssets/Diamond/Rings/SMDRN20230010.webp,collectionAssets/Diamond/Rings/SMDRN20230010.1.webp,,
SMDRN20230011,6.78,6.69,0.45,750,18kt Gold,50000,0,,collectionAssets/Diamond/Rings/SMDRN20230011.webp,collectionAssets/Diamond/Rings/SMDRN20230011.1.webp,,
SMDRN20230012,2.2,2.18,0.1,750,18kt Gold,50000,0,,collectionAssets/Diamond/Rings/SMDRN20230012.webp,collectionAssets/Diamond/Rings/SMDRN20230012.1.webp,,
SMDRN20230013,11.29,11.27,0.2,1000,Platinum,80000,0,,collectionAssets/Diamond/Rings/SMDRN20230013.webp,,,
SMDRN20230014,8.4,8.2,1,1000,Platinum,183000,0,,collectionAssets/Diamond/Rings/SMDRN20230014.webp,,,
SMDRN20230015,4.75,4.67,0.38,750,18kt Gold,50000,0,,collectionAssets/Diamond/Rings/SMDRN20230015.webp,collectionAssets/Diamond/Rings/SMDRN20230015.1.webp,,
SMDRN20230016,2.15,2.12,0.15,750,18kt Gold,50000,0,,collectionAssets/Diamond/Rings/SMDRN20230016.webp,collectionAssets/Diamond/Rings/SMDRN20230016.1.webp,,
SMDRN20230017,7.5,7.46,0.2,750,18kt Gold,90000,0,,collectionAssets/Diamond/Rings/SMDRN20230017.webp,,,
