proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDGEM20230001,5.86,5.6,0.24,750,18kt Gold,50000,4000,,collectionAssets/Customized Jewellery/SMDGEM20230001.webp,collectionAssets/Customized Jewellery/SMDGEM20230001.1.webp,,
SMDGEM20230002,47.52,45.86,3.52,750,18kt Gold,65000,7200,,collectionAssets/Customized Jewellery/SMDGEM20230002.webp,collectionAssets/Customized Jewellery/SMDGEM20230002.1.webp,,
SMDGEM20230003,12,11.5,0.3,750,18kt Gold,50000,5000,,collectionAssets/Customized Jewellery/SMDGEM20230003.webp,,,
SMDGEM20230004,174.46,141.89,12.43,750,18kt Gold,50000,134000,,collectionAssets/Customized Jewellery/SMDGEM20230004.webp,,,
SMDGEM20230005,4.85,3.9,0.25,750,18kt Gold,50000,36000,4.5ct  zambian,collectionAssets/Customized Jewellery/SMDGEM20230005.webp,,,
SMDGEM20230006,10.15,9.64,0.3,750,18kt Gold,50000,7875,2.5ct zambian 3.5k,collectionAssets/Customized Jewellery/SMDGEM20230006.webp,,,
SMDGEM20230007,3.5,3,0,750,18kt Gold,50000,11250,2.5ct bangkok ,collectionAssets/Customized Jewellery/SMDGEM20230007.webp,collectionAssets/Customized Jewellery/SMDGEM20230007.1.webp,collectionAssets/Customized Jewellery/SMDGEM20230007.2.webp,
SMDGEM20230008,20.93,11.79,1.87,750,18kt Gold,50000,35000,,collectionAssets/Customized Jewellery/SMDGEM20230008.webp,,,
SMDGEM20230009,36.88,36.88,0,0,18kt Gold,50000,45000,,collectionAssets/Customized Jewellery/SMDGEM20230009.webp,,,
SMDGEM20230010,8.88,7.98,0,750,18kt Gold,50000,24300,4.5 cts bangkok ,collectionAssets/Customized Jewellery/SMDGEM20230010.webp,collectionAssets/Customized Jewellery/SMDGEM20230010.1.webp,,
