proId,GrossWeight,NetWeight,DiamondWeight,MakingCharges,Karat,DiamondRate,colorStone,colorStoneDes,images[0],images[1],images[2],images[3]
SMDGD20230001,56.49,54.53,0,750,22kt Gold,50000,4000,,collectionAssets/Gold_Kundan/SMDGD20230001.webp,collectionAssets/Gold_Kundan/SMDGD20230001.1.webp,collectionAssets/Gold_Kundan/SMDGD20230001.2.webp,
SMDGD20230002,15.58,12.79,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230002.webp,,,
SMDGD20230003,21.32,17.82,0,750,22kt Gold,0,5850,,collectionAssets/Gold_Kundan/SMDGD20230003.webp,,,
SMDGD20230004,22.43,22.11,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230004.webp,collectionAssets/Gold_Kundan/SMDGD20230004.1.webp,,
SMDGD20230005,54.78,54.42,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230005.webp,collectionAssets/Gold_Kundan/SMDGD20230005.1.webp,,
SMDGD20230006,55.75,55.75,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230006.webp,collectionAssets/Gold_Kundan/SMDGD20230006.1.webp,,
SMDGD20230007,20.18,20.18,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230007.webp,collectionAssets/Gold_Kundan/SMDGD20230007.1.webp,,
SMDGD20230008,25.75,22.46,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDKNP20230008.webp,collectionAssets/Gold_Kundan/SMDKNP20230008.1.webp,,
SMDGD20230009,47.88,47.88,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230009.webp,collectionAssets/Gold_Kundan/SMDGD20230009.1.webp,,
SMDGD20230010,61.24,61.24,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230010.webp,,,
SMDGD20230011,88.78,88.78,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230011.webp,collectionAssets/Gold_Kundan/SMDGD20230011.1.webp,collectionAssets/Gold_Kundan/SMDGD20230011.2.webp,
SMDGD20230012,72.65,72.65,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230012.webp,collectionAssets/Gold_Kundan/SMDGD20230012.1.webp,,
SMDGD20230013,51.42,46.32,0,750,22kt Gold,0,15000,,collectionAssets/Gold_Kundan/SMDGD20230013.webp,collectionAssets/Gold_Kundan/SMDGD20230013.1.webp,,
SMDGD20230014,24.88,23.18,0,750,22kt Gold,0,11000,,collectionAssets/Gold_Kundan/SMDGD20230014.webp,collectionAssets/Gold_Kundan/SMDGD20230014.1.webp,,
SMDGD20230015,32.78,30.55,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230015.webp,collectionAssets/Gold_Kundan/SMDGD20230015.1.webp,collectionAssets/Gold_Kundan/SMDGD20230015.2.webp,
SMDGD20230016,29.76,25.44,0,750,22kt Gold,0,12000,,collectionAssets/Gold_Kundan/SMDGD20230016.webp,,,
SMDGD20230017,18.57,15.66,0,750,22kt Gold,0,4000,,collectionAssets/Gold_Kundan/SMDGD20230017.webp,,,
SMDGD20230018,41.52,38.78,0,750,22kt Gold,0,25000,,collectionAssets/Gold_Kundan/SMDGD20230018.webp,,,
SMDGD20230019,90.45,85.33,0,750,22kt Gold,0,0,,collectionAssets/Gold_Kundan/SMDGD20230019.webp,,,
SMDKNP20230020,97.94,72.54,0,750,22kt Gold,0,60000,,collectionAssets/Gold_Kundan/SMDKNP20230020.webp,,,
SMDKNP20230021,55.75,55.75,0,750,22kt Gold,0,25000,,collectionAssets/Gold_Kundan/SMDGD20230021.webp,,,
SMDKNP20230022,64.7,64,2.12,750,22kt Gold,50000,0,,collectionAssets/Gold_Kundan/SMDKNP20230022.webp,,,
SMDPGD20230023,29.3,25.72,0.25,750,18kt Gold,50000,3000,,collectionAssets/Gold_Kundan/SMDPGD20230023.webp,,,
SMDPGD20230024,35.78,35.1,0.1,750,18kt Gold,50000,0,,collectionAssets/Gold_Kundan/SMDPGD20230024.webp,,,
SMDPGD20230025,22.89,21.78,0,750,18kt Gold,50000,5000,,collectionAssets/Gold_Kundan/SMDPGD20230025.webp,,,
